Sample;Sample_ID;Grain_ID;206Pb_238U;206Pb_238U_err_1s;207Pb_235U;207Pb_235U_err_1s;RHO;75Age;75Age_err;68Age;68Age_err_2s;BestAge;BestAge_err;Disc
300349_20;300349;20;0,01;0,00;0,05;0,00;0,81;53,30;2,06;50,46;1,61;50,46;1,61;0,05
300349_21;300349;21;0,01;0,00;0,05;0,00;0,76;48,79;2,36;47,08;1,76;47,08;1,76;0,04
300349_22;300349;22;0,01;0,00;0,06;0,00;0,81;62,34;3,17;51,68;2,20;51,68;2,20;0,17
300349_23;300349;23;0,01;0,00;0,05;0,00;0,61;54,25;3,67;52,28;2,20;52,28;2,20;0,04
300349_24;300349;24;0,01;0,00;0,07;0,01;0,57;64,74;10,18;51,94;4,82;51,94;4,82;0,20
300349_25;300349;25;0,01;0,00;0,05;0,00;0,43;46,12;3,22;37,96;1,16;37,96;1,16;0,18
300349_26;300349;26;0,01;0,00;0,04;0,00;0,20;43,26;7,18;36,17;1,21;36,17;1,21;0,16
300349_27;300349;27;0,01;0,00;0,06;0,00;0,64;55,69;3,39;51,46;2,05;51,46;2,05;0,08
300349_28;300349;28;0,01;0,00;0,09;0,02;0,53;88,43;34,36;54,42;11,66;54,42;11,66;0,38
300349_29;300349;29;0,01;0,00;0,04;0,00;0,88;43,53;1,90;41,05;1,61;41,05;1,61;0,06
300349_30;300349;30;0,01;0,00;0,06;0,00;0,49;55,59;2,64;49,29;1,18;49,29;1,18;0,11
300349_31;300349;31;0,01;0,00;0,05;0,00;0,37;46,81;4,41;38,19;1,37;38,19;1,37;0,18
300349_32;300349;32;0,01;0,00;0,06;0,00;0,70;62,74;4,13;58,88;2,78;58,88;2,78;0,06
300349_33;300349;33;0,01;0,00;0,09;0,02;0,15;90,04;34,72;50,47;2,92;50,47;2,92;0,44
300349_34;300349;34;0,01;0,00;0,07;0,00;0,38;67,56;8,35;48,17;2,34;48,17;2,34;0,29
300349_35;300349;35;0,01;0,00;0,05;0,00;0,91;50,49;1,26;49,36;1,14;49,36;1,14;0,02
300349_36;300349;36;0,01;0,00;0,05;0,00;0,57;51,47;3,12;45,92;1,61;45,92;1,61;0,11
300349_37;300349;37;0,01;0,00;0,04;0,00;0,75;42,98;1,69;41,26;1,24;41,26;1,24;0,04
300349_38;300349;38;0,01;0,00;0,08;0,00;0,28;78,24;8,38;52,41;1,61;52,41;1,61;0,33
300349_39;300349;39;0,01;0,00;0,09;0,01;0,31;85,31;21,91;61,51;5,10;61,51;5,10;0,28
300349_40;300349;40;0,01;0,00;0,17;0,04;0,32;156,78;65,92;62,86;9,03;62,86;9,03;0,60
300349_41;300349;41;0,01;0,00;0,04;0,00;0,81;38,32;1,46;37,89;1,19;37,89;1,19;0,01
300349_42;300349;42;0,01;0,00;0,06;0,00;0,31;57,54;7,86;39,92;1,76;39,92;1,76;0,31
300349_43;300349;43;0,01;0,00;0,06;0,00;0,14;55,36;7,59;36,24;0,68;36,24;0,68;0,35
300349_44;300349;44;0,01;0,00;0,05;0,00;0,95;47,58;2,05;45,73;1,90;45,73;1,90;0,04
300349_45;300349;45;0,01;0,00;0,41;0,07;0,51;347,27;97,44;70,34;12,07;70,34;12,07;0,80
300349_46;300349;46;0,01;0,00;0,07;0,00;0,31;70,75;4,29;51,14;0,98;51,14;0,98;0,28
300349_47;300349;47;0,01;0,00;0,05;0,00;0,37;46,24;4,08;37,16;1,22;37,16;1,22;0,20
300349_48;300349;48;0,01;0,00;0,06;0,01;0,16;61,05;11,11;37,61;1,10;37,61;1,10;0,38
300349_49;300349;49;0,01;0,00;0,05;0,00;0,67;50,63;2,43;44,51;1,47;44,51;1,47;0,12
300349_50;300349;50;0,01;0,00;0,14;0,03;0,28;136,44;46,81;53,87;5,54;53,87;5,54;0,61
300349_51;300349;51;0,01;0,00;0,05;0,00;0,66;46,03;2,93;44,46;1,90;44,46;1,90;0,03
300349_52;300349;52;0,01;0,00;0,05;0,00;0,31;45,99;3,72;38,44;0,99;38,44;0,99;0,16
300349_53;300349;53;0,01;0,00;0,05;0,00;0,35;50,00;4,27;37,44;1,15;37,44;1,15;0,25
300349_54;300349;54;0,01;0,00;0,06;0,00;0,62;55,12;2,49;51,38;1,47;51,38;1,47;0,07
300349_55;300349;55;0,01;0,00;0,06;0,00;0,36;56,13;5,65;38,53;1,44;38,53;1,44;0,31
